name,lat,lon
,-26.0,113.0
,-26.0,113.25
,-26.0,113.5
,-26.0,113.75
,-26.0,114.0
,-26.0,114.25
,-26.0,114.5
,-26.0,114.75
,-26.0,115.0
,-26.0,115.25
,-26.0,115.5
,-26.0,115.75
,-26.0,116.0
,-26.0,116.25
,-26.0,116.5
,-26.0,116.75
,-26.0,117.0
,-26.0,117.25
,-26.0,117.5
,-26.0,117.75
,-26.0,118.0
,-26.0,118.25
,-26.0,118.5
,-26.0,118.75
,-26.0,119.0
,-26.0,119.25
,-26.0,119.5
,-26.0,119.75
,-26.0,120.0
,-26.0,120.25
,-26.0,120.5
,-26.0,120.75
,-26.0,121.0
,-26.0,121.25
,-26.0,121.5
,-26.0,121.75
,-26.0,122.0
,-26.0,122.25
,-26.0,122.5
,-26.0,122.75
,-26.0,123.0
,-26.0,123.25
,-26.0,123.5
,-26.0,123.75
,-26.0,124.0
,-26.25,113.0
,-26.25,113.25
,-26.25,113.5
,-26.25,113.75
,-26.25,114.0
,-26.25,114.25
,-26.25,114.5
,-26.25,114.75
,-26.25,115.0
,-26.25,115.25
,-26.25,115.5
,-26.25,115.75
,-26.25,116.0
,-26.25,116.25
,-26.25,116.5
,-26.25,116.75
,-26.25,117.0
,-26.25,117.25
,-26.25,117.5
,-26.25,117.75
,-26.25,118.0
,-26.25,118.25
,-26.25,118.5
,-26.25,118.75
,-26.25,119.0
,-26.25,119.25
,-26.25,119.5
,-26.25,119.75
,-26.25,120.0
,-26.25,120.25
,-26.25,120.5
,-26.25,120.75
,-26.25,121.0
,-26.25,121.25
,-26.25,121.5
,-26.25,121.75
,-26.25,122.0
,-26.25,122.25
,-26.25,122.5
,-26.25,122.75
,-26.25,123.0
,-26.25,123.25
,-26.25,123.5
,-26.25,123.75
,-26.25,124.0
,-26.5,113.0
,-26.5,113.25
,-26.5,113.5
,-26.5,113.75
,-26.5,114.0
,-26.5,114.25
,-26.5,114.5
,-26.5,114.75
,-26.5,115.0
,-26.5,115.25
,-26.5,115.5
,-26.5,115.75
,-26.5,116.0
,-26.5,116.25
,-26.5,116.5
,-26.5,116.75
,-26.5,117.0
,-26.5,117.25
,-26.5,117.5
,-26.5,117.75
,-26.5,118.0
,-26.5,118.25
,-26.5,118.5
,-26.5,118.75
,-26.5,119.0
,-26.5,119.25
,-26.5,119.5
,-26.5,119.75
,-26.5,120.0
,-26.5,120.25
,-26.5,120.5
,-26.5,120.75
,-26.5,121.0
,-26.5,121.25
,-26.5,121.5
,-26.5,121.75
,-26.5,122.0
,-26.5,122.25
,-26.5,122.5
,-26.5,122.75
,-26.5,123.0
,-26.5,123.25
,-26.5,123.5
,-26.5,123.75
,-26.5,124.0
,-26.75,113.0
,-26.75,113.25
,-26.75,113.5
,-26.75,113.75
,-26.75,114.0
,-26.75,114.25
,-26.75,114.5
,-26.75,114.75
,-26.75,115.0
,-26.75,115.25
,-26.75,115.5
,-26.75,115.75
,-26.75,116.0
,-26.75,116.25
,-26.75,116.5
,-26.75,116.75
,-26.75,117.0
,-26.75,117.25
,-26.75,117.5
,-26.75,117.75
,-26.75,118.0
,-26.75,118.25
,-26.75,118.5
,-26.75,118.75
,-26.75,119.0
,-26.75,119.25
,-26.75,119.5
,-26.75,119.75
,-26.75,120.0
